title,content,tokens
Page 1,"¿Cómo se utiliza un cupón? Actualmente, los cupones solo se pueden canjear en la app de Fever (puedes descargarla para Android o iOS). A continuación, te explicamos cómo utilizarlos. Para aplicar un cupón a una compra: 1. Abre la app de Fever e inicia sesión con tu método de acceso a Fever (email, Facebook, Gmail o ID de Apple). 2. Ve a la experiencia que quieras comprar, elige la fecha y hora, luego selecciona el número de tickets y haz clic en ""Comprar"". 3. Verás la opción ""Aplicar cupón"". Haz clic en ella y esto te llevará a tu lista de cupones. 4. Selecciona el cupón que desees utilizar (máximo un cupón por compra) y haz clic en ""Aplicar cupón"". Esto aplicará un descuento al importe total. ● Si un cupón aparece como ""No disponible"", significa que no se puede aplicar en esa experiencia concreta. ● Si tienes un código de cupón, haz clic en ""Añadir código de cupón"" para introducirlo. 5. Haz clic en ""Pagar ahora"" y ¡listo! Encontrarás tu(s) nuevo(s) tickets(s) en la sección ""Tickets"" de la app. Algunas cosas a tener en cuenta: - Para que los cupones aparezcan en tu perfil, es importante que inicies sesión utilizando el mismo método de inicio de sesión a través del cual conseguiste el cupón/código del cupón. - Si tienes un cupón VIP, podrás utilizarlo en todas las experiencias Fever. - Asegúrate de comprobar las especificaciones y la fecha de caducidad del cupón haciendo clic sobre él.",521
Page 2,"No encuentro mi ticket Puedes acceder a tus entradas en la sección ""Tickets"" de la app de Fever. Asegúrate de haber iniciado sesión en la app con el mismo método de acceso que utilizaste para realizar la compra (email, Facebook, Google o Apple). También encontrarás tus entradas en el email de confirmación que recibiste al realizar la compra. Para algunas experiencias, sin embargo, las entradas solo estarán disponibles a través de la app de Fever. En ese caso, se especificará en el email de confirmación de compra. Si no has recibido un email de confirmación, revisa tu carpeta de spam y/o asegúrate de que tu dirección de email es la misma que utilizaste para iniciar sesión en Fever. Si sigues sin encontrar tus entradas después de seguir estos pasos, ponte en contacto con nosotros facilitando la siguiente información: ● Si pagaste con tarjeta de crédito/débito, sus 6 primeros dígitos y los 4 últimos ● Si utilizaste una cuenta de PayPal para realizar la compra, la dirección de email vinculada a la misma ● El importe total que se ha cargado ● La fecha de la transacción",358
Page 3,"¿Puedo cambiar la fecha de mi ticket? Generalmente, los tickets de Fever no se pueden cambiar ni reembolsar. Sin embargo, algunas experiencias permiten cambios en la fecha con hasta 48 horas de antelación. Puedes comprobar si esta opción está disponible en el enlace a las FAQs en la descripción de la experiencia. Si tu experiencia lo permite y quieres hacer el cambio, ponte en contacto con nosotros e incluye el ticket ID asociado con tu compra (¿Qué es el ticket ID?). Uno de nuestros agentes se responderá a tu petición en la mayor brevedad posible, comunicándote los siguientes pasos a seguir.",201
Page 4,"¿Puedo devolver mi ticket? La mayoría de los tickets de Fever son definitivos y no se pueden reembolsar. Sin embargo, algunas experiencias permiten cambios en la fecha con hasta 48 horas de antelación. Puedes comprobar si esta opción está disponible en el enlace a las FAQs en la descripción de la experiencia. Si quieres cambiar la fecha de tu ticket y la experiencia lo permite, ponte en contacto con nosotros e incluye el ticket ID asociado a tu compra (¿Qué es el ticket ID?). Uno de nuestros agentes se responderá a tu petición en la mayor brevedad posible, comunicándote los siguientes pasos a seguir.",201
Page 5,"Soy usuario, ¿cómo puedo contactarlos? Nuestro equipo de atención al cliente está disponible 24/7. Puedes contactarnos a través de email, o puedes usar la App para iniciar un chat en vivo o una llamada. ¡Elige el método que prefieras! ● Email: Utiliza este formulario para enviar una solicitud, y nos pondremos en contacto contigo por email lo antes posible. ● App - Chat en vivo: Puedes comenzar una conversación de chat con nosotros a través de la App, en Perfil > Ayuda > Live chat. ● App - Teléfono: Puedes acceder a nuestra línea telefónica local a través de la App, en Perfil > Ayuda > Llámanos. Si tu solicitud está relacionada con una compra que has hecho, indícanos el ID de tu ticket para que podamos ayudarte lo más rápido posible. Puedes descargar nuestra app para Android o iOS.",278
Page 6,"¿Qué es el monedero Fever Club? Fever Club es un sistema de recompensas diseñado para ayudarte a aprovechar Fever al máximo. Con cada nueva experiencia, se generará hasta un 20% del importe de tu compra en crédito, que podrás usar cuando quieras para comprar experiencias en la app con descuento. Recibirás los beneficios de Fever Club después de tu primera compra. Primero estarás en el nivel bronce, e irás subiendo hasta Plata y Oro, ¡con mejores beneficios según subas de nivel! Bronce - se desbloquea con tu primera compra Por cada nueva compra, se genera automáticamente un 10% de su valor en crédito. Para permanecer en Bronce, deberás hacer al menos 1 compra cada 6 meses. Plata- se desbloquea con tu segunda compra Por cada nueva compra, se genera automáticamente un 15% de su valor en crédito. Para permanecer en Plata, deberás hacer al menos 1 compra cada 60 días. Oro- se desbloquea con tu tercera compra ¡Aquí es donde debes llegar! Por cada nueva compra, se genera automáticamente un 20% de su valor en crédito. Para permanecer en Oro, deberás hacer al menos 1 compra cada 60 días Otros detalles a tener en cuenta: - Puedes acumular tanto crédito como quieras, ¡el monedero de Fever Club es infinito! - Si no haces ninguna compra en 60 días, se desactivará tu monedero. ¡Pero no te preocupes! Tu crédito no irá a ninguna parte. Simplemente, deberás hacer una nueva compra, y podrás usarlo de nuevo.",521
Page 7,"¿Cómo utilizo mi monedero Fever Club? Puedes acceder a tu monedero Fever desde la app de Fever (puedes descargarla para Android o iOS) y aparecerá en la sección ""Cupones"" de tu perfil. Para aplicar el crédito de tu monedero Fever a una compra: 1. Abre la app de Fever e inicia sesión con tu método de acceso a Fever (email, Facebook, Gmail o Apple ID). 2. Ve a la experiencia que quieras comprar, elige la fecha y la hora, luego selecciona el número de tickets y haz clic en ""Comprar"". 3. Si la experiencia tiene cupones habilitados, verás la opción ""Aplicar cupón"". Haz clic en ella: esto te llevará a tu lista de cupones. 4. Selecciona tu monedero Fever y toca en ""Aplicar cupón"". Esto aplicará el crédito de tu monedero Fever como descuento al importe total. 5. Si cambias de opinión y prefieres utilizar otro cupón, simplemente pulsa en ""Borrar"" y el descuento se eliminará. Elige uno diferente y el precio final se actualizará. 6. Haz clic en ""Pagar ahora"" y ¡ya está! Encontrarás tu(s) nuevo(s) ticket(s) en la sección ""Tickets"" de la app.",387
Page 8,"¿Qué pasa si no encuentro mi monedero Fever en la lista de cupones? Si tu monedero Fever Club no aparece en la lista de cupones y no has realizado ninguna compra en 60 días, significa que tu monedero ha sido desactivado, ¡pero no te preocupes! Tu crédito no ha desaparecido. Simplemente, haz una compra y podrás ver y utilizar tu monedero de nuevo.",129
Page 9,"¿Qué es un cupón de bienvenida? El cupón de bienvenida es un descuento que puedes regalar a un amigo. Por cada amigo que utilice tu cupón de bienvenida como primer descuento en Fever, ¡recibirás otro cupón de descuento para ti! Solo tienes que seguir estos sencillos pasos: 1. Ve a Perfil en la app y haz clic en ""Invitar a un amigo"". 2. Copia el código que aparece en la parte inferior y compártelo con tus amigos. Podrán utilizar este código para obtener un descuento en su primera compra en la app. (¿Cómo se utiliza un cupón?) 3. Una vez que tus amigos hayan realizado su compra, recibirás un nuevo cupón, que encontrarás en tu Perfil en el apartado de ""Cupones"". No hay límite en el número de amigos que pueden utilizar tu código, ¡así que invita a todos los que quieras!",290
Page 10,"No encuentro mi ticket Puedes acceder a tus entradas en la sección ""Tickets"" de la app de Fever. Asegúrate de haber iniciado sesión en la app con el mismo método de acceso que utilizaste para realizar la compra (email, Facebook, Google o Apple). También encontrarás tus entradas en el email de confirmación que recibiste al realizar la compra. Para algunas experiencias, sin embargo, las entradas solo estarán disponibles a través de la app de Fever. En ese caso, se especificará en el email de confirmación de compra. Si no has recibido un email de confirmación, revisa tu carpeta de spam y/o asegúrate de que tu dirección de email es la misma que utilizaste para iniciar sesión en Fever. Si sigues sin encontrar tus entradas después de seguir estos pasos, ponte en contacto con nosotros facilitando la siguiente información: ● Si pagaste con tarjeta de crédito/débito, sus 6 primeros dígitos y los 4 últimos ● Si utilizaste una cuenta de PayPal para realizar la compra, la dirección de email vinculada a la misma ● El importe total que se ha cargado ● La fecha de la transacción",358
